TITLE	DESCRIPTION	COMPLETION_CRITERIA	START_FLAG	END_FLAG	OPTIONAL	REPEATABLE
Manhunt	Kill 2 Romadan men for Bartender Daniel in Herceg Novi. They can be found in the Frolicking Fields nearby.	{'Kills': ('Romadan Man', 2)}	Daniel Quest 1	Daniel Quest 1 Complete	1	0
Feeling Crabby	Kill 1 Kotor Crab for Bartender Daniel in Herceg Novi. They can be found in the Bay of Kotor to the south.	{'Kills': ('Kotor Crab', 1)}	Daniel Quest 2	Daniel Quest 2 Complete	1	0
Stalkin' Mr. Pockins	Find and kill Mr. Pockins for Bartender Daniel in Herceg Novi.	{'Kills': ('Mr. Pockins', 1)}	Daniel Quest 3	Daniel Quest 3 Complete	1	0
A Lovely Orcskin Jacket	Kill 1 Orc for Bartender Adam in Mojkovac Valley.	{'Kills': ('Orc', 1)}	Adam Quest 1	Adam Quest 1 Complete	1	0
A Cute Goblinhide Coat	Kill 5 Goblins for Bartender Adam in Mojkovac Valley.	{'Wildcard Kills': (('Goblin', 'Mountain Goblin', 'Goblin Ranger', 'Goblin Thug'), 5, "Goblin")}	Adam Quest 2	Adam Quest 2 Complete	1	0
Sealing the Deal	Kill 5 Giant Seals for Bartender Adam in Mojkovac Valley.	{'Kills': ('Giant Seal1', 5)}	Adam Quest 3	Adam Quest 3 Complete	1	0
Fresh or Fowl?	Kill 1 crow for Bartender Igor in Pec.	{'Kills': ('Unholy Crow', 1)}	Bartender Igor Quest 1	Bartender Igor Quest 1 Complete	1	0
A Shocking Choice	Kill 6 Jellyfish for Bartender Igor in Pec.	{'Wildcard Kills': (('Toxic Jellyfish', 'Lion\'s Mane Jellyfish'), 6, "Jellyfish")}	Bartender Igor Quest 2	Bartender Igor Quest 2 Complete	1	0
"Ate" Legged	Kill 3 octopi for Bartender Igor in Pec.	{'Kills': ('Mystical Octopus', 3)}	Bartender Igor Quest 3	Bartender Igor Quest 3 Complete	1	0
Business as Usual	Kill 5 Rogue Guards for Bartender Zhang in Pristina.	{'Kills': ('Rogue Guard', 5)}	Bartender Zhang Quest 1	Bartender Zhang Quest 1 Complete	1	0
Getting Medieval	Kill 10 Black Knights for Bartender Zhang in Pristina.	{'Kills': ('Black Knight', 10)}	Bartender Zhang Quest 2	Bartender Zhang Quest 2 Complete	1	0
General Information	Kill General Octavius for Bartender Zhang in Pristina.	{'Kills': ('General Octavius', 1)}	Bartender Zhang Quest 3	Bartender Zhang Quest 3 Complete	1	0
Homeland Bound	Continue your journey north through Black Mountain to reach Mojkovac.	{'No Criteria': True}	Daniel Quest 3 Complete	Mojkovac Summit	0	0
Father Time	Rescue Dragan's father from inside The Watchmaking Facility.	{'No Criteria': True}	Dragan	The Watchmaking Facility Complete	0	0
Mystery of the Mages	Gather information about the disappearance of the archmages for Mayor Radoman in Igalo.	{'Kills': ('Maximilian', 1)}	Radoman	Radoman Information 1	0	0
The Mastermind	Find Niplin's headquarters.	{'No Criteria': True}	Radoman Information 1	Lair Entrance	0	0
Delve into Darkness	Explore the Lair of the Magi and find the archmages.	{'No Criteria': True}	Lair Entrance	Lair Tower	0	0
Grave Matters	Bury Dragan's father in the cemetery.	{'No Criteria': True}	The Watchmaking Facility Complete	Ghost of Tomas Conclusion	0	0
Something Fishy	Decrypt the anagram on Tomas Tam's tombstone and uncover what he has hidden.	{'No Criteria': True}	Ghost of Tomas Conclusion	Writings	0	0
Paper Trail	Collect parchment from swordfish scattered throughout the Adriatic Sea.	{'Items': {'Mysterious Parchment': 1}}	Writings	All Tomas Writings Found	0	0
Codebreaker	Decrypt the Mysterious Parchment and use it to discover a secret in Western Kosovo.	{'No Criteria': True}	All Tomas Writings Found	Secret Lab Unlocked	0	0
Top Secret	Find what Tomas Tam has hidden in The Secret Laboratory.	{'No Criteria': True}	Secret Lab Entrance	Secret Lab Lever	0	0
Presidential Pursuit	Find the President of Macedonia.	{'No Criteria': True}	Secret Lab Lever	Tipsy Tuesday	0	0
Gated Content	Get a letter bearing the signature of Mayor Mirko in Herceg Novi for the guards in Pristina.	{'Items': {'Letter from the Mayor': 1}}	Tipsy Tuesday	Unguarded Gate	0	0
The President	Speak to the President of Macedonia.	{'Items': {'Presidential Map': 1}}	Unguarded Gate	Finding President	0	0
The Key to Macedonia?	Follow the Presidential Map to see where it leads.	{'No Criteria': True}	Took Map	Old Ruins	0	0
The Quest for Truth	Explore the Old Ruins.	{'Items': {'Macedonian Protector': 1}}	Old Ruins	Old Ruins Complete	0	0
